temperature,humidity,air_flow,mrt,pmv
24.6,46.0,0.41,26.72,-0.55
24.6,46.0,0.41,26.72,-0.55
24.6,46.0,0.41,26.72,-0.55
24.6,46.0,0.41,26.72,-0.55
32.6,65.0,0.44,32.13,1.77
32.6,65.0,0.44,32.13,1.77
32.6,65.0,0.44,32.13,1.77
32.6,65.0,0.44,32.13,1.77
32.6,65.0,0.44,32.13,1.77
26.7,44.0,0.05,26.23,0.54
26.7,44.0,0.05,26.23,0.54
26.7,44.0,0.05,26.23,0.54
26.7,44.0,0.05,26.23,0.54
26.7,44.0,0.05,26.23,0.54
26.7,44.0,0.05,26.23,0.54
26.7,44.0,0.05,26.23,0.54
26.3,45.0,0.01,25.35,0.36
26.3,45.0,0.01,25.35,0.36
26.3,45.0,0.01,25.35,0.36
26.3,45.0,0.01,25.35,0.36
25.6,46.0,0.14,25.77,0.24
25.6,46.0,0.14,25.77,0.24
25.6,46.0,0.14,25.77,0.24
25.6,46.0,0.14,25.77,0.24
25.6,46.0,0.14,25.77,0.24
25.6,46.0,0.14,25.77,0.24
25.4,46.0,0.05,25.24,0.2
